square,x,y
a8,-1.75,-1.75
b8,-1.75,-1.25
c8,-1.75,-0.75
d8,-1.75,-0.25
e8,-1.75,0.25
f8,-1.75,0.75
g8,-1.75,1.25
h8,-1.75,1.75
a7,-1.25,-1.75
b7,-1.25,-1.25
c7,-1.25,-0.75
d7,-1.25,-0.25
e7,-1.25,0.25
f7,-1.25,0.75
g7,-1.25,1.25
h7,-1.25,1.75
a6,-0.75,-1.75
b6,-0.75,-1.25
c6,-0.75,-0.75
d6,-0.75,-0.25
e6,-0.75,0.25
f6,-0.75,0.75
g6,-0.75,1.25
h6,-0.75,1.75
a5,-0.25,-1.75
b5,-0.25,-1.25
c5,-0.25,-0.75
d5,-0.25,-0.25
e5,-0.25,0.25
f5,-0.25,0.75
g5,-0.25,1.25
h5,-0.25,1.75
a4,0.25,-1.75
b4,0.25,-1.25
c4,0.25,-0.75
d4,0.25,-0.25
e4,0.25,0.25
f4,0.25,0.75
g4,0.25,1.25
h4,0.25,1.75
a3,0.75,-1.75
b3,0.75,-1.25
c3,0.75,-0.75
d3,0.75,-0.25
e3,0.75,0.25
f3,0.75,0.75
g3,0.75,1.25
h3,0.75,1.75
a2,1.25,-1.75
b2,1.25,-1.25
c2,1.25,-0.75
d2,1.25,-0.25
e2,1.25,0.25
f2,1.25,0.75
g2,1.25,1.25
h2,1.25,1.75
a1,1.75,-1.75
b1,1.75,-1.25
c1,1.75,-0.75
d1,1.75,-0.25
e1,1.75,0.25
f1,1.75,0.75
g1,1.75,1.25
h1,1.75,1.75
